"id","state","name"
"US10ceda016","South Dakota","NE HARTINGTON"
"US10ceda017","Nebraska","NE FORDYCE"
"US10ceda020","Nebraska","NE FORDYCE"
"US10ceda021","South Dakota","NE ST. HELENA"
"US10ceda026","Nebraska","NE HARTINGTON"
"US10chas001","Nebraska","NE IMPERIAL"
"US10chas002","Nebraska","NE ENDERS"
"US10chas003","Nebraska","NE IMPERIAL"
"US10chas004","Nebraska","NE IMPERIAL"
"US10chas005","Nebraska","NE IMPERIAL"
"US10chas006","Nebraska","NE CHAMPION"
"US10chas007","Nebraska","NE VENANGO"
"US10chas008","Colorado","NE LAMAR"
"US10chas009","Nebraska","NE WAUNETA"
"US10chas010","Nebraska","NE IMPERIAL"
"US10chas011","Nebraska","NE IMPERIAL"
"US10chas012","Nebraska","NE CHAMPION"
"US10chas013","Nebraska","NE VENANGO"
"US10chas016","Colorado","NE LAMAR"
"US10chas017","Nebraska","NE ELSIE"
"US10chas018","Nebraska","NE WAUNETA"
"US10chas019","Nebraska","NE ENDERS"
"US10chas021","Nebraska","NE WAUNETA"
"US10chas023","Nebraska","NE IMPERIAL"
"US10chas024","Nebraska","NE WAUNETA"
"US10chas025","Nebraska","NE CHAMPION"
"US10chas026","Nebraska","NE IMPERIAL"
"US10chas027","Nebraska","NE CHAMPION"
"US10chas028","Nebraska","NE ENDERS"
"US10chas029","Nebraska","NE CHAMPION"
"US10chas030","Nebraska","NE WAUNETA"
"US10chas031","Nebraska","NE ENDERS"
"US10chas032","Nebraska","NE HAIGLER"
"US10chas033","Nebraska","NE CHAMPION"
"US10chas034","Nebraska","NE WAUNETA"
"US10chas035","Nebraska","NE WAUNETA"
"US10chas036","Nebraska","NE IMPERIAL"
"US10chas037","Nebraska","NE WAUNETA"
"US10chas038","Nebraska","NE CHAMPION"
"US10cher001","Nebraska","NE MULLEN"
"US10cher004","Nebraska","NE THEDFORD"
"US10cher005","Nebraska","NE VALENTINE"
"US10cher006","Nebraska","NE VALENTINE"
"US10cher007","Nebraska","NE VALENTINE"
"US10cher008","Nebraska","NE SPARKS"
"US10cher009","Nebraska","NE VALENTINE"
"US10cher010","Nebraska","NE HYANNIS"
"US10cher011","Nebraska","NE VALENTINE"
"US10cher012","Nebraska","NE VALENTINE"
"US10cher013","Nebraska","NE BROWNLEE"
"US10cher014","Nebraska","NE VALENTINE"
"US10cher016","South Dakota","NE CODY"
"US10cher017","Nebraska","NE VALENTINE"
"US10cher018","South Dakota","NE MERRIMAN"
"US10cher019","South Dakota","NE CODY"
"US10cher022","Nebraska","NE VALENTINE"
"US10cher023","Nebraska","NE VALENTINE"
"US10cher024","South Dakota","NE CODY"
"US10cher025","Nebraska","NE WOOD LAKE"
"US10cher026","Nebraska","NE WHITMAN"
"US10cher027","South Dakota","NE CODY"
"US10cher028","South Dakota","NE CODY"
"US10cher032","Nebraska","NE VALENTINE"
